Designator,Mid X,Mid Y,Rotation,Layer
C46_2,158.3,-126.05,0.0,top
C46,108.3,-126.05,0.0,top
C5_4,125.2,-155.1,90.0,top
C5_3,175.2,-155.1,90.0,top
C5_2,174.9,-145.0,270.0,top
C5,124.9,-145.0,270.0,top
C6_4,129.5,-154.2,270.0,top
C6_3,179.5,-154.2,270.0,top
C6_2,170.6,-145.9,90.0,top
C6,120.6,-145.9,90.0,top
C7_4,133.1,-153.15,0.0,top
C7_3,183.1,-153.15,0.0,top
C7_2,167.0,-146.95,180.0,top
C7,117.0,-146.95,180.0,top
C8_4,137.55,-153.95,90.0,top
C8_3,187.55,-153.95,90.0,top
C8_2,162.55,-146.15,270.0,top
C8,112.55,-146.15,270.0,top
C9_4,137.55,-159.55,270.0,top
C9_3,187.55,-159.55,270.0,top
C9_2,162.55,-140.55,90.0,top
C9,112.55,-140.55,90.0,top
D1_4,148.95,-189.4,270.0,top
D1_3,198.95,-189.4,270.0,top
D1_2,151.15,-110.7,90.0,top
D1,101.15,-110.7,90.0,top
D2_4,154.7,-192.95,90.0,top
D2_3,104.7,-192.95,90.0,top
D2_2,195.4,-107.15,270.0,top
D2,145.4,-107.15,270.0,top
D3_4,158.1,-192.95,90.0,top
D3_3,108.1,-192.95,90.0,top
D3_2,192.0,-107.15,270.0,top
D3,142.0,-107.15,270.0,top
D4_4,100.95,-184.95,90.0,top
D4_3,150.95,-184.95,90.0,top
D4_2,199.15,-115.15,270.0,top
D4,149.15,-115.15,270.0,top
D5_4,100.95,-189.35,90.0,top
D5_3,150.95,-189.35,90.0,top
D5_2,199.15,-110.75,270.0,top
D5,149.15,-110.75,270.0,top
D6_4,190.0,-182.75,0.0,top
D6_3,140.0,-182.75,0.0,top
D6_2,160.1,-117.35,180.0,top
D6,110.1,-117.35,180.0,top
D7_4,140.0,-179.35,0.0,top
D7_3,190.0,-179.35,0.0,top
D7_2,160.1,-120.75,180.0,top
D7,110.1,-120.75,180.0,top
D8_4,163.9,-181.6,270.0,top
D8_3,113.9,-181.6,270.0,top
D8_2,186.2,-118.5,90.0,top
D8,136.2,-118.5,90.0,top
D9_4,160.65,-179.15,270.0,top
D9_3,110.65,-179.15,270.0,top
D9_2,189.45,-120.95,90.0,top
D9,139.45,-120.95,90.0,top
F1_4,165.9,-152.9,0.0,top
F1_3,115.9,-152.9,0.0,top
F1_2,184.2,-147.2,180.0,top
F1,134.2,-147.2,180.0,top
F2_4,115.9,-158.45,0.0,top
F2_3,165.9,-158.45,0.0,top
F2_2,184.2,-141.65,180.0,top
F2,134.2,-141.65,180.0,top
H1_4,163.1,-189.1,180.0,top
H1_3,113.1,-189.1,180.0,top
H1_2,187.0,-111.0,0.0,top
H1,137.0,-111.0,0.0,top
H2_4,187.1,-189.1,180.0,top
H2_3,137.1,-189.1,180.0,top
H2_2,163.0,-111.0,0.0,top
H2,113.0,-111.0,0.0,top
H3_4,175.1,-164.1,180.0,top
H3_3,125.1,-164.1,180.0,top
H3_2,175.0,-136.0,0.0,top
H3,125.0,-136.0,0.0,top
J1_4,105.2,-163.9,90.0,top
J1_3,155.2,-163.9,90.0,top
J1_2,194.9,-136.2,270.0,top
J1,144.9,-136.2,270.0,top
J2_4,105.2,-154.7,90.0,top
J2_3,155.2,-154.7,90.0,top
J2_2,194.9,-145.4,270.0,top
J2,144.9,-145.4,270.0,top
J3_4,194.65,-196.4,0.0,top
J3_3,144.65,-196.4,0.0,top
J3_2,155.45,-103.7,180.0,top
J3,105.45,-103.7,180.0,top
J4_4,184.125,-179.65,90.0,top
J4_3,134.125,-179.65,90.0,top
J4_2,165.975,-120.45,270.0,top
J4,115.975,-120.45,270.0,top
J5_4,105.8,-198.2,90.0,top
J5_3,155.8,-198.2,90.0,top
J5_2,194.3,-101.9,270.0,top
J5,144.3,-101.9,270.0,top
J6_4,146.2,-156.8,90.0,top
J6_3,196.2,-156.8,90.0,top
J6_2,153.9,-143.3,270.0,top
J6,103.9,-143.3,270.0,top
J7_4,146.2,-170.25,90.0,top
J7_3,196.2,-170.25,90.0,top
J7_2,153.9,-129.85,270.0,top
J7,103.9,-129.85,270.0,top
J8_4,196.8,-181.05,270.0,top
J8_3,146.8,-181.05,270.0,top
J8_2,153.3,-119.05,90.0,top
J8,103.3,-119.05,90.0,top
J9_4,169.41,-177.85,90.0,top
J9_3,119.41,-177.85,90.0,top
J9_2,180.69,-122.25,270.0,top
J9,130.69,-122.25,270.0,top
JP1_4,177.05,-158.0,180.0,bottom
JP1_3,127.05,-158.0,180.0,bottom
JP1_2,173.05,-142.1,0.0,bottom
JP1,123.05,-142.1,0.0,bottom
JP2_4,177.05,-155.5,180.0,bottom
JP2_3,127.05,-155.5,180.0,bottom
JP2_2,173.05,-144.6,0.0,bottom
JP2,123.05,-144.6,0.0,bottom
JP3_4,130.45,-164.1,270.0,bottom
JP3_3,180.45,-164.1,270.0,bottom
JP3_2,169.65,-136.0,90.0,bottom
JP3,119.65,-136.0,90.0,bottom
JP4_4,132.95,-164.1,270.0,bottom
JP4_3,182.95,-164.1,270.0,bottom
JP4_2,167.15,-136.0,90.0,bottom
JP4,117.15,-136.0,90.0,bottom
L1_4,162.7,-166.75,180.0,top
L1_3,112.7,-166.75,180.0,top
L1_2,187.4,-133.35,0.0,top
L1,137.4,-133.35,0.0,top
L10_4,191.8,-175.55,0.0,top
L10_3,141.8,-175.55,0.0,top
L10_2,158.3,-124.55,180.0,top
L10,108.3,-124.55,180.0,top
L11_4,191.8,-171.05,0.0,top
L11_3,141.8,-171.05,0.0,top
L11_2,158.3,-129.05,180.0,top
L11,108.3,-129.05,180.0,top
L12_4,141.8,-169.45,0.0,top
L12_3,191.8,-169.45,0.0,top
L12_2,158.3,-130.65,180.0,top
L12,108.3,-130.65,180.0,top
L13_4,141.8,-164.95,0.0,top
L13_3,191.8,-164.95,0.0,top
L13_2,158.3,-135.15,180.0,top
L13,108.3,-135.15,180.0,top
L14_4,119.35,-174.6,270.0,top
L14_3,169.35,-174.6,270.0,top
L14_2,180.75,-125.5,90.0,top
L14,130.75,-125.5,90.0,top
L2_4,111.55,-174.7,180.0,top
L2_3,161.55,-174.7,180.0,top
L2_2,188.55,-125.4,0.0,top
L2,138.55,-125.4,0.0,top
L3_4,179.75,-180.5,0.0,top
L3_3,129.75,-180.5,0.0,top
L3_2,170.35,-119.6,180.0,top
L3,120.35,-119.6,180.0,top
L4_4,129.75,-179.0,0.0,top
L4_3,179.75,-179.0,0.0,top
L4_2,170.35,-121.1,180.0,top
L4,120.35,-121.1,180.0,top
L5_4,101.75,-195.65,180.0,top
L5_3,151.75,-195.65,180.0,top
L5_2,198.35,-104.45,0.0,top
L5,148.35,-104.45,0.0,top
L6_4,191.8,-162.05,0.0,top
L6_3,141.8,-162.05,0.0,top
L6_2,158.3,-138.05,180.0,top
L6,108.3,-138.05,180.0,top
L7_4,191.8,-157.55,0.0,top
L7_3,141.8,-157.55,0.0,top
L7_2,158.3,-142.55,180.0,top
L7,108.3,-142.55,180.0,top
L8_4,191.8,-155.95,0.0,top
L8_3,141.8,-155.95,0.0,top
L8_2,158.3,-144.15,180.0,top
L8,108.3,-144.15,180.0,top
L9_4,141.8,-151.45,0.0,top
L9_3,191.8,-151.45,0.0,top
L9_2,158.3,-148.65,180.0,top
L9,108.3,-148.65,180.0,top
Q1_4,179.3,-176.55,180.0,top
Q1_3,129.3,-176.55,180.0,top
Q1_2,170.8,-123.55,0.0,top
Q1,120.8,-123.55,0.0,top
R1_4,139.15,-159.65,270.0,top
R1_3,189.15,-159.65,270.0,top
R1_2,160.95,-140.45,90.0,top
R1,110.95,-140.45,90.0,top
R10_4,193.25,-190.1,90.0,top
R10_3,143.25,-190.1,90.0,top
R10_2,156.85,-110.0,270.0,top
R10,106.85,-110.0,270.0,top
R11_4,147.05,-190.1,90.0,top
R11_3,197.05,-190.1,90.0,top
R11_2,153.05,-110.0,270.0,top
R11,103.05,-110.0,270.0,top
R12_4,125.6,-177.2,90.0,top
R12_3,175.6,-177.2,90.0,top
R12_2,174.5,-122.9,270.0,top
R12,124.5,-122.9,270.0,top
R13_4,158.4,-189.2,180.0,top
R13_3,108.4,-189.2,180.0,top
R13_2,191.7,-110.9,0.0,top
R13,141.7,-110.9,0.0,top
R14_4,106.51,-189.2,0.0,top
R14_3,156.51,-189.2,0.0,top
R14_2,193.59,-110.9,180.0,top
R14,143.59,-110.9,180.0,top
R15_4,155.2,-187.8,270.0,top
R15_3,105.2,-187.8,270.0,top
R15_2,194.9,-112.3,90.0,top
R15,144.9,-112.3,90.0,top
R16_4,104.75,-195.65,0.0,top
R16_3,154.75,-195.65,0.0,top
R16_2,195.35,-104.45,180.0,top
R16,145.35,-104.45,180.0,top
R17_4,158.1,-195.65,0.0,top
R17_3,108.1,-195.65,0.0,top
R17_2,192.0,-104.45,180.0,top
R17,142.0,-104.45,180.0,top
R18_4,175.2,-183.35,90.0,top
R18_3,125.2,-183.35,90.0,top
R18_2,174.9,-116.75,270.0,top
R18,124.9,-116.75,270.0,top
R19_4,174.15,-183.35,90.0,top
R19_3,124.15,-183.35,90.0,top
R19_2,175.95,-116.75,270.0,top
R19,125.95,-116.75,270.0,top
R2_4,189.15,-153.85,90.0,top
R2_3,139.15,-153.85,90.0,top
R2_2,160.95,-146.25,270.0,top
R2,110.95,-146.25,270.0,top
R20_4,115.7,-196.9,90.0,top
R20_3,165.7,-196.9,90.0,top
R20_2,184.4,-103.2,270.0,top
R20,134.4,-103.2,270.0,top
R21_4,126.6,-183.8,0.0,top
R21_3,176.6,-183.8,0.0,top
R21_2,173.5,-116.3,180.0,top
R21,123.5,-116.3,180.0,top
R22_4,142.7,-179.35,270.0,top
R22_3,192.7,-179.35,270.0,top
R22_2,157.4,-120.75,90.0,top
R22,107.4,-120.75,90.0,top
R23_4,142.7,-182.75,270.0,top
R23_3,192.7,-182.75,270.0,top
R23_2,157.4,-117.35,90.0,top
R23,107.4,-117.35,90.0,top
R24_4,163.1,-177.8,90.0,top
R24_3,113.1,-177.8,90.0,top
R24_2,187.0,-122.3,270.0,top
R24,137.0,-122.3,270.0,top
R25_4,167.1,-180.4,0.0,top
R25_3,117.1,-180.4,0.0,top
R25_2,183.0,-119.7,180.0,top
R25,133.0,-119.7,180.0,top
R3_4,139.15,-173.15,270.0,top
R3_3,189.15,-173.15,270.0,top
R3_2,160.95,-126.95,90.0,top
R3,110.95,-126.95,90.0,top
R4_4,189.15,-167.35,90.0,top
R4_3,139.15,-167.35,90.0,top
R4_2,160.95,-132.75,270.0,top
R4,110.95,-132.75,270.0,top
R5_4,168.55,-166.9,0.0,top
R5_3,118.55,-166.9,0.0,top
R5_2,181.55,-133.2,180.0,top
R5,131.55,-133.2,180.0,top
R6_4,168.55,-165.95,0.0,top
R6_3,118.55,-165.95,0.0,top
R6_2,181.55,-134.15,180.0,top
R6,131.55,-134.15,180.0,top
R7_4,118.55,-163.95,0.0,top
R7_3,168.55,-163.95,0.0,top
R7_2,181.55,-136.15,180.0,top
R7,131.55,-136.15,180.0,top
R8_4,167.4,-174.85,0.0,top
R8_3,117.4,-174.85,0.0,top
R8_2,182.7,-125.25,180.0,top
R8,132.7,-125.25,180.0,top
R9_4,167.4,-173.9,0.0,top
R9_3,117.4,-173.9,0.0,top
R9_2,182.7,-126.2,180.0,top
R9,132.7,-126.2,180.0,top
SW1_4,104.1,-175.5,90.0,top
SW1_3,154.1,-175.5,90.0,top
SW1_2,196.0,-124.6,270.0,top
SW1,146.0,-124.6,270.0,top
SW2_4,113.55,-197.5,180.0,top
SW2_3,163.55,-197.5,180.0,top
SW2_2,186.55,-102.6,0.0,top
SW2,136.55,-102.6,0.0,top
SW3_4,186.2,-197.5,180.0,top
SW3_3,136.2,-197.5,180.0,top
SW3_2,163.9,-102.6,0.0,top
SW3,113.9,-102.6,0.0,top
TP1_4,109.05,-162.85,180.0,bottom
TP1_3,159.05,-162.85,180.0,bottom
TP1_2,191.05,-137.25,0.0,bottom
TP1,141.05,-137.25,0.0,bottom
TP10_4,160.65,-179.85,180.0,bottom
TP10_3,110.65,-179.85,180.0,bottom
TP10_2,189.45,-120.25,0.0,bottom
TP10,139.45,-120.25,0.0,bottom
TP11_4,163.9,-182.3,180.0,bottom
